file,ddg,total_motifs,significant_motifs,real_motif_ratio,hbond_motif_count,hbond_motif_energy_sum,closest_autodock_recovery_rmsd,closest_autodock_recovery_ddg,strain_energy,total,ligand_name
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res5_11_shifted/4/PV-004434805041/122/placement/res122_7F16_receptor_only_PV-004434805041_203_1.pdb,-15.13854,9.0,4.0,0.333333,2,-1.065005,100,0,0,99.129788,PV-004434805041
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/16/PV-004444948705/122/placement/res122_7F16_receptor_only_PV-004444948705_47_1.pdb,-15.55909,12.0,4.0,0.25,2,-0.857348,100,0,0,101.833562,PV-004444948705
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res5_11_shifted/1/PV-004451097503/269/placement/res269_7F16_receptor_only_PV-004451097503_133_21.pdb,-15.009468,12.0,3.0,0.25,2,-0.890163,100,0,0,101.350369,PV-004451097503
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/19/PV-004453173376/269/placement/res269_7F16_receptor_only_PV-004453173376_75_18.pdb,-15.325992,8.0,2.0,0.25,2,-0.597145,100,0,0,96.326863,PV-004453173376
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res5_11_shifted/10/PV-004470556370/122/placement/res122_7F16_receptor_only_PV-004470556370_74_1.pdb,-15.352621,9.0,3.0,0.333333,2,-0.609783,100,0,0,98.370929,PV-004470556370
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/4/PV-004482678676/122/placement/res122_7F16_receptor_only_PV-004482678676_114_2.pdb,-16.976415,10.0,3.0,0.3,2,-0.947909,100,0,0,97.375676,PV-004482678676
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res5_11_shifted/10/PV-004484744628/269/placement/res269_7F16_receptor_only_PV-004484744628_105_3.pdb,-15.102863,7.0,4.0,0.285714,2,-0.739385,100,0,0,97.443466,PV-004484744628
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/32/PV-004499033942/269/placement/res269_7F16_receptor_only_PV-004499033942_20_0.pdb,-16.336018,7.0,2.0,0.428571,2,-1.549677,100,0,0,93.542876,PV-004499033942
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/24/PV-004502754221/122/placement/res122_7F16_receptor_only_PV-004502754221_27_2.pdb,-16.502904,8.0,3.0,0.25,3,-0.998347,100,0,0,96.748749,PV-004502754221
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/30/PV-004506477178/122/placement/res122_7F16_receptor_only_PV-004506477178_31_0.pdb,-16.222639,10.0,3.0,0.3,2,-1.763647,100,0,0,97.313714,PV-004506477178
